reasoning_label,text
1,"Обладание серединой в хвастовстве и притворстве связано почти с тем же самым, но и оно безымянно. Не худо, однако, разобрать и такие душевные склады, ибо мы, пожалуй, больше узнаем, что относится к нраву, разобрав каждый нрав по отдельности, и мы скорее уверимся, что добродетели состоят в обладании серединой, поняв, что во всех случаях это так. Уже были названы те, кто в общении при совместной жизни доставляют удовольствие или причиняют страдания, а теперь поговорим о правдивых и обманщиках как в речах, так и в поступках и в приписывании себе чего-либо. Принято считать, что хвастун склонен приписывать себе славное — то, чего у него нет, или большее, чем у него есть, а притворщик, наоборот, отрицает, что у него есть то, что у него есть, или преуменьшает это. Тот же, кто держится середины, как человек «прямой, что ли», — и в поведении, и в речах правдивый, признающий, что владеет тем, что у него есть, не больше и не меньше. Все это можно делать и с определённой целью, и просто так. И если поступки не преследуют известную цель, то каков каждый человек по складу, таковы его слова и поступки, так он и живёт. Обман сам по себе дурен и заслуживает осуждения, а правда прекрасна и заслуживает похвалы. Так и правдивый человек, как держащийся середины, заслуживает похвалы, а обманывающий — безразлично в какую сторону — заслуживает осуждения, но в большей степени — хвастун. Мы скажем о каждом из них, но сперва о правдивом. Речь идёт, конечно, о правдивом не в договорах..."
1,"Кому своевременность — единственное благо, для кого безразлично, совершить ли больше деяний согласно прямому разуму или меньше, кому всё равно, созерцать ли мир большее или меньшее время, тому не страшна и смерть."
1,"Если кто-то задаст тебе вопрос, как пишется имя Антонин, неужели ты будешь произносить каждую букву с натугой? Ну а если он станет сердиться, так рассердишься и ты? Разве не перечислишь тихо все знаки поочередно? Точно так же и здесь: помни, что всякое надлежащее слагается из определённых чисел. Это имей в виду и не смущайся, на негодующих не негодуй, чётко исполняй своё задание."
1,"Дёргает тебя что-нибудь, вторгающееся извне? — Ну так дай себе досуг на то, чтобы узнать вновь что-нибудь хорошее, брось вертеться волчком. Правда же, остерегаться надо и другого поворота дела: ведь глупец и тот, кто деянием заполнил жизнь до изнеможения, а цели-то, куда направить все устремления, да разом и представления не имеет."
0,"У всякого своя радость. У меня вот — когда здраво мое ведущее и не отвращается ни от кого из людей и ни от чего, что случается с людьми, а напротив, взирает на все доброжелательным взором, все приемлет и всем распоряжается по достоинству."
0,"Двор Августа: жена, дочь, внуки, пасынки, сестра, Агриппа, родственники, домашние, друзья, Арий, Меценат, врачи, жрецы-гадатели — смерть всего этого двора. Потом переходи к другим, и не так, чтобы смерть людей по отдельности, а вроде как Помпеи. А ещё то, что пишут на памятниках: последний в роду. Прикинуть, сколько терзаний было у предков о каком-нибудь наследнике, а потом и то, что должен же кто-нибудь быть последним. А потом опять смерть всего рода."
1,"Ищут себе уединения в глуши, у берега моря, в горах. Вот и ты об этом тоскуешь. Только как уж по-обывательски всё это, когда можно пожелать только и сей же час уединиться в себе. А нигде человек не уединяется тише и покойнее, чем у себя в душе, особенно если внутри у него то, на что, чуть взглянув, он сразу же обретает совершеннейшую благоустроенность — под благоустроенностью я разумею нечто иное, как благоустроение. Вот и давай себе постоянно такое уединение и обновляй себя. И пусть кратким и основополагающим будет то, что, едва выйдя навстречу, всю её омоет и отпустит тебя уже не сетующим на то, к чему ты возвращаешься. Правда, на что ты сетуешь? На порочность людей? Так повтори себе суждение о том, что существа разумные рождены один для другого, что часть справедливости — сносить и что против воли проступки; и то вспомни, сколько уж их, кто жили во вражде, подозрениях, ненависти и драке, потом протянули ноги и сгорели, — и перестань наконец. Или ты сетуешь на то, что уделено тебе из целого? Так обнови в уме обе возможности: или промысел, или атомы; а также всё то, откуда доказано было, что мир подобен городу. Или вновь затронет тебя телесное? Но ты же понял, что мысль не смешивается с гладкими или шероховатыми движениями дыхания, если она однажды обрела себя и узнала присущую ей власть и прочее, что ты слушал о наслаждении и боли, с чем и сам согласился. Или издергает тебя честолюбие? Но ты же видел, как быстро забывается всё, как зияет вечность,..."
1,"Един свет солнца, хоть его и загораживают стены, горы, тысячи других вещей. Едино общее естество, хоть и перегорожено тысячами качественно различных тел. Едина душа, хоть и на тысячи разгорожена породами и особыми очертаниями. Едина разумная душа, хоть и кажется, что она различена. Так вот, одна часть упомянутого, как дыхание и предметы, бесчувственна и не расположена друг к другу, но даже в них есть ум и тяготение к одному и тому же. А уж разумная тяга возникает особенно к единоплеменному, и, установившись, не преграждается общестрастием."
1,"Следует признать, что величайшие беды, которые угнетают нравственно облагороженные народы, возникают из-за войны, причём не столько настоящей или бывшей, сколько из-за никогда не ослабевающих и даже непрерывно увеличивающихся приготовлений к войне будущей. На это тратятся все силы государства, все плоды его культуры, которые могли бы употребляться для ещё большего обогащения последней; свободе повсеместно наносится весьма сильный ущерб, а материнская заботливость государства о своих отдельных членах превращается в безжалостно суровые требования, которым находят, однако, оправдания в заботах о внешней безопасности."
1,"Спорят и о счастливом, будет ли он нуждаться в друзьях или нет. Некоторые утверждают, что у блаженных и самодостаточных нет никакой надобности в друзьях, потому что как таковые блага у них имеются. А значит, как самодостаточные, они ни в чем дополнительно не нуждаются, между тем друг, будучи вторым «я», дает как раз только то, что человек не способен получить благодаря самому себе; отсюда изречение: «Когда добром дарит демон, что нужды в друзьях!». Но ведь это, похоже, нелепость: приписывая счастливому все блага, не дать ему друзей — того, что считается самым важным из внешних благ! И вот если другу свойственнее делать добро, а не принимать, и оказывать благодеяния — свойство добродетельного и добродетели, и, наконец, если делать добро друзьям прекраснее, чем посторонним, то добропорядочный человек будет нуждаться в тех, кто примет его благодеяния. Поэтому следующий вопрос о том, при удачах или при неудачах больше надобность в друзьях, если иметь в виду, что и неудачник нуждается в тех, кто будет ему благодетелями, и удачливые — в тех, кому они будут делать добро. Вероятно, нелепо также делать блаженного одиночкой, ибо никто не избрал бы обладание благом для себя одного; действительно, человек — общественное существо, и жизнь сообща прирождена ему. Значит, эти черты есть и у счастливого, ведь он от природы имеет блага, между тем ясно, что с друзьями и добрыми людьми лучше проводить дни, нежели с посторонними и случайными. Следовательно, у счастливого..."
